,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
26,28-06-2015,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany
27,21-06-2015,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany
28,14-06-2015,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany
29,07-06-2015,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,conventional,2015,Albany
30,31-05-2015,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany
31,24-05-2015,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,conventional,2015,Albany
32,17-05-2015,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany
33,10-05-2015,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany
34,03-05-2015,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany
35,26-04-2015,1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,conventional,2015,Albany
36,19-04-2015,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany
37,12-04-2015,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany
38,05-04-2015,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany
39,29-03-2015,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany
40,22-03-2015,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany
41,15-03-2015,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany
42,08-03-2015,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,conventional,2015,Albany
43,01-03-2015,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,conventional,2015,Albany
44,22-02-2015,1.07,45675.05,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany
45,15-02-2015,1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,conventional,2015,Albany
46,08-02-2015,0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,conventional,2015,Albany
47,01-02-2015,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany
48,25-01-2015,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany
49,18-01-2015,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany
50,11-01-2015,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany
51,04-01-2015,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany
0,27-12-2015,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta
1,20-12-2015,1.08,331377.53,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,conventional,2015,Atlanta
2,13-12-2015,0.96,417772.47,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta
3,06-12-2015,1.07,357636.82,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta
4,29-11-2015,0.99,333280.79,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta
5,22-11-2015,1,356414.57,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,conventional,2015,Atlanta
6,15-11-2015,1.13,339860.68,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0,conventional,2015,Atlanta
7,08-11-2015,1.12,334041.6,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta
8,01-11-2015,0.99,419088.74,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,2015,Atlanta
9,25-10-2015,1.09,358478.08,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0,conventional,2015,Atlanta
10,18-10-2015,1.09,349072.48,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0,conventional,2015,Atlanta
11,11-10-2015,0.95,433874.46,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0,conventional,2015,Atlanta
12,04-10-2015,0.96,418682.26,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0,conventional,2015,Atlanta
13,27-09-2015,1.07,370321.17,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,conventional,2015,Atlanta
14,20-09-2015,0.93,516432.6,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,conventional,2015,Atlanta
15,13-09-2015,1.07,417232.18,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta
16,06-09-2015,0.97,472136.53,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,conventional,2015,Atlanta
17,30-08-2015,1.15,382972.72,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,conventional,2015,Atlanta
18,23-08-2015,1.12,379054.29,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0,conventional,2015,Atlanta
19,16-08-2015,1.09,465213.81,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0,conventional,2015,Atlanta
20,09-08-2015,1.01,503791.72,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta
21,02-08-2015,1.15,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta
22,26-07-2015,1.08,437377.75,335372.02,44087.07,708,57210.66,45114.22,12096.44,0,conventional,2015,Atlanta
23,19-07-2015,0.97,557212.99,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0,conventional,2015,Atlanta
24,12-07-2015,1.14,407204.88,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0,conventional,2015,Atlanta
25,05-07-2015,1.01,562462.33,436377.91,54675.38,848.55,70560.49,50684.74,19851,24.75,conventional,2015,Atlanta
26,28-06-2015,1.13,435210.71,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,conventional,2015,Atlanta
27,21-06-2015,0.99,554763.76,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,conventional,2015,Atlanta
28,14-06-2015,1.1,465804.78,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,2015,Atlanta
29,07-06-2015,0.99,551009.05,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,conventional,2015,Atlanta
30,31-05-2015,1.1,454702,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta
31,24-05-2015,0.96,623212.04,538126.94,27284.43,1260.8,56539.87,33867,22651.15,21.72,conventional,2015,Atlanta
32,17-05-2015,1.11,451250.7,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0,conventional,2015,Atlanta
33,10-05-2015,1.1,480071.18,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0,conventional,2015,Atlanta
34,03-05-2015,1,634213.1,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0,conventional,2015,Atlanta
35,26-04-2015,1.12,448596.76,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0,conventional,2015,Atlanta
36,19-04-2015,1.12,430966.34,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0,conventional,2015,Atlanta
37,12-04-2015,0.99,451101.89,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0,conventional,2015,Atlanta
38,05-04-2015,1.04,383139.49,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,2015,Atlanta
0,27-12-2015,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington
1,20-12-2015,1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,conventional,2015,BaltimoreWashington
2,13-12-2015,1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,conventional,2015,BaltimoreWashington
3,06-12-2015,1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,conventional,2015,BaltimoreWashington
4,29-11-2015,1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,conventional,2015,BaltimoreWashington
5,22-11-2015,1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,conventional,2015,BaltimoreWashington
6,15-11-2015,1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0,conventional,2015,BaltimoreWashington
7,08-11-2015,1.05,830967.23,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0,conventional,2015,BaltimoreWashington
8,01-11-2015,1.12,742220.67,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0,conventional,2015,BaltimoreWashington
9,25-10-2015,1.19,656892.03,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0,conventional,2015,BaltimoreWashington
10,18-10-2015,0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,conventional,2015,BaltimoreWashington
11,11-10-2015,1.24,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0,conventional,2015,BaltimoreWashington
12,04-10-2015,1.28,657444.04,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0,conventional,2015,BaltimoreWashington
13,27-09-2015,1.19,696281.81,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0,conventional,2015,BaltimoreWashington
14,20-09-2015,1.17,709268.62,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0,conventional,2015,BaltimoreWashington
15,13-09-2015,1.09,924993.61,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0,conventional,2015,BaltimoreWashington
16,06-09-2015,1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington
17,30-08-2015,1.24,734721.29,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington
18,23-08-2015,1.16,783935.36,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington
19,16-08-2015,1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
20,09-08-2015,1.16,821523.45,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0,conventional,2015,BaltimoreWashington
21,02-08-2015,1.17,800603.23,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0,conventional,2015,BaltimoreWashington
22,26-07-2015,1.2,772926.12,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington
23,19-07-2015,1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
24,12-07-2015,1.1,850931.58,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington
25,05-07-2015,1.16,896298.77,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington
26,28-06-2015,1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington
27,21-06-2015,1.16,862840.73,58398.76,527866.5,51952.74,224622.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington
28,14-06-2015,1.09,955046.82,64005.15,593499.63,48344.86,249197.18,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington
29,07-06-2015,1.26,794310.29,62585.45,462951.05,43720.95,225052.84,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington
30,31-05-2015,1.19,949177.06,67744.84,617813.87,45832.8,217785.55,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington
31,24-05-2015,1.18,908661.83,63610.12,560740.03,49808.51,234503.17,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington
32,17-05-2015,1.27,790853.86,63515.06,455166.65,44840.98,227331.17,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington
33,10-05-2015,1.26,855205.82,79192.07,507104.15,44390.54,224519.06,215572.03,8947.03,0,conventional,2015,BaltimoreWashington
34,03-05-2015,1.17,896972.05,73038.46,536709.99,77537.43,209686.17,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington
35,26-04-2015,1.29,747841.09,58013.85,431532.87,39942.57,218351.8,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington
36,19-04-2015,1.28,762862.62,67486.78,427623.27,42125.28,225627.29,219885.88,5741.41,0,conventional,2015,BaltimoreWashington
37,12-04-2015,1.15,837629.62,70796.72,523170.13,42270.76,201392.01,196076.34,5315.67,0,conventional,2015,BaltimoreWashington
38,05-04-2015,1.29,688065.45,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
39,29-03-2015,1.25,663677.32,58098.15,398050.87,43759.68,163768.62,158964.08,4804.54,0,conventional,2015,BaltimoreWashington
40,22-03-2015,1.1,808897.21,65158.96,524971.24,42381.39,176385.62,171699.95,4685.67,0,conventional,2015,BaltimoreWashington
18,23-08-2015,1.05,70773.76,44059.22,14861.33,4433.12,7420.09,7420.09,0,0,conventional,2015,Boise
19,16-08-2015,1.12,64001.61,46189.28,5258.21,6457.21,6096.91,6090.51,0,6.4,conventional,2015,Boise
20,09-08-2015,1.1,61286.98,44739.54,5034,3931.19,7582.25,7568.92,13.33,0,conventional,2015,Boise
21,02-08-2015,1.07,67763.91,51151.27,5140.89,5435.36,6036.39,5987.5,48.89,0,conventional,2015,Boise
22,26-07-2015,1.07,67826.07,50978.38,4856.27,5479.57,6511.85,6358.04,153.81,0,conventional,2015,Boise
23,19-07-2015,1.09,63958.04,45921.6,5300.3,5565.17,7170.97,6354.45,816.52,0,conventional,2015,Boise
24,12-07-2015,1.05,74677.72,51828.75,5802.65,7474.4,9571.92,8335.04,1236.88,0,conventional,2015,Boise
25,05-07-2015,1.15,85044.45,61949.73,8022.13,8434.98,6637.61,6557.06,80.55,0,conventional,2015,Boise
26,28-06-2015,1.04,75280.41,59111.33,6573.26,3974.75,5621.07,5619.44,0,1.63,conventional,2015,Boise
27,21-06-2015,1.06,81397.07,52790.21,15444.74,5875.85,7286.27,7021.56,0,264.71,conventional,2015,Boise
28,14-06-2015,0.99,87607.71,58791.25,17880.43,3135.99,7800.04,7800.04,0,0,conventional,2015,Boise
29,07-06-2015,1.12,80751.29,61245.49,7237.55,6655.69,5612.56,5603.8,8.76,0,conventional,2015,Boise
30,31-05-2015,0.97,76689.38,57373.57,7421.36,4028.3,7866.15,7860.31,5.84,0,conventional,2015,Boise
31,24-05-2015,1.03,83209.77,54825.95,14839.33,6037.23,7507.26,7469.51,0,37.75,conventional,2015,Boise
32,17-05-2015,0.96,77987.53,61319.66,7393.99,2919.87,6354.01,6345.82,0,8.19,conventional,2015,Boise
33,10-05-2015,1.06,95788.53,62505.3,15896.54,7891.16,9495.53,9453.06,0,42.47,conventional,2015,Boise
34,03-05-2015,1,85466.99,66880.12,7942.34,4289.72,6354.81,6349.93,0,4.88,conventional,2015,Boise
35,26-04-2015,0.96,88111.17,69544.59,7985.48,3401.65,7179.45,7174.6,0,4.85,conventional,2015,Boise
36,19-04-2015,0.99,89694.96,56843.62,21630.9,3260.22,7960.22,7953.8,0,6.42,conventional,2015,Boise
37,12-04-2015,1.19,66246.3,44469.15,8506.36,7523.01,5747.78,5747.78,0,0,conventional,2015,Boise
38,05-04-2015,1.09,76704.46,57339.81,9060.49,3790.38,6513.78,6510.61,0,3.17,conventional,2015,Boise
39,29-03-2015,0.98,74543.98,59532.94,7119.52,3101.98,4789.54,4789.54,0,0,conventional,2015,Boise
40,22-03-2015,1.17,61419.11,44227.33,6589.77,7290.24,3311.77,3311.77,0,0,conventional,2015,Boise
41,15-03-2015,1,65918.28,51472.29,7018.29,2981.8,4445.9,4445.9,0,0,conventional,2015,Boise
42,08-03-2015,1.14,65350.24,45879.84,7206.22,7403.75,4860.43,4860.43,0,0,conventional,2015,Boise
34,03-05-2015,1.17,552368.94,3828.64,429586.28,239.76,118714.26,115148.87,3565.39,0,conventional,2015,Boston
35,26-04-2015,1.28,465911.37,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0,conventional,2015,Boston
36,19-04-2015,1.15,504619.83,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0,conventional,2015,Boston
37,12-04-2015,1.26,408485.16,3575.89,294164.23,106.09,110638.95,108644.33,1994.62,0,conventional,2015,Boston
38,05-04-2015,1.27,449818.01,3657.54,330424.74,99.92,115635.81,113541.34,1948.64,145.83,conventional,2015,Boston
39,29-03-2015,1.19,453631.25,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0,conventional,2015,Boston
40,22-03-2015,1.18,453173.22,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0,conventional,2015,Boston
41,15-03-2015,1.25,417750.36,6085.75,308996.7,111.59,102556.32,101931.87,624.45,0,conventional,2015,Boston
42,08-03-2015,1.17,408403.96,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0,conventional,2015,Boston
43,01-03-2015,1.11,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0,conventional,2015,Boston
44,22-02-2015,1.23,355432.28,3232.68,251341.3,142.33,100715.97,100498.19,217.78,0,conventional,2015,Boston
45,15-02-2015,1.2,399883.99,3794.97,281106.45,143.41,114839.16,114283.61,555.55,0,conventional,2015,Boston
46,08-02-2015,1.04,609985.34,7653.19,495731.7,383.73,106216.72,105403.38,813.34,0,conventional,2015,Boston
47,01-02-2015,1.22,490022.14,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0,conventional,2015,Boston
48,25-01-2015,1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0,conventional,2015,Boston
49,18-01-2015,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0,conventional,2015,Boston
50,11-01-2015,1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0,conventional,2015,Boston
51,04-01-2015,1.02,491738,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0,conventional,2015,Boston
0,27-12-2015,1.35,96233.08,1367.81,39542.83,85.76,55236.68,55236.68,0,0,conventional,2015,BuffaloRochester
1,20-12-2015,1.37,90867.51,1164.92,38430.71,106.67,51165.21,51165.21,0,0,conventional,2015,BuffaloRochester
2,13-12-2015,1.35,98473.23,1421.12,40783.22,66.45,56202.44,56202.44,0,0,conventional,2015,BuffaloRochester
3,06-12-2015,1.23,108457.82,1737.71,58197.34,167.12,48355.65,48355.65,0,0,conventional,2015,BuffaloRochester
4,29-11-2015,1.39,79973.14,1514.69,35682.71,113.49,42662.25,42662.25,0,0,conventional,2015,BuffaloRochester
5,22-11-2015,1.4,90242.31,1711.77,38780.66,107.53,49642.35,49642.35,0,0,conventional,2015,BuffaloRochester
6,15-11-2015,1.36,99703.72,1803.78,41457.12,107.48,56335.34,55593.12,742.22,0,conventional,2015,BuffaloRochester
7,08-11-2015,1.3,111038.95,1288.83,49507.25,55,60187.87,58885.65,1302.22,0,conventional,2015,BuffaloRochester
8,01-11-2015,1.23,118541.11,2181.17,61874.92,186.4,54298.62,52956.4,1342.22,0,conventional,2015,BuffaloRochester
16,06-09-2015,1.09,5806392.78,2859325.91,2077193.6,240185,629688.27,591629.83,33545.37,4513.07,conventional,2015,California
17,30-08-2015,1.08,5647385.15,3104607.82,1660274.32,233027.36,649475.65,640600.64,5989.25,2885.76,conventional,2015,California
18,23-08-2015,1.18,5193221,2626977.95,1798911.33,222082.91,545248.81,535183.95,6573.5,3491.36,conventional,2015,California
19,16-08-2015,1.11,5616434.08,3098708.55,1731349,208724.73,577651.8,572197.46,2081.96,3372.38,conventional,2015,California
20,09-08-2015,1.1,6232081.27,3260775.73,2196704.97,193831.6,580768.97,570728.54,7356.84,2683.59,conventional,2015,California
21,02-08-2015,1.16,5428238.87,2940145.82,1737845.94,183471.03,566776.08,559587.76,4953.57,2234.75,conventional,2015,California
22,26-07-2015,1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.54,590750.1,5181.16,2676.28,conventional,2015,California
23,19-07-2015,1.18,5225200.52,2805887.74,1629871.75,188207.47,601233.56,577736.96,20673.8,2822.8,conventional,2015,California
24,12-07-2015,1.13,5451636.92,2747299.98,1923893.11,157478.05,622965.78,601358.64,18032.41,3574.73,conventional,2015,California
25,05-07-2015,1.12,6718011.83,3581149.88,2120303.06,254187.47,762371.42,731692.08,27317.19,3362.15,conventional,2015,California
26,28-06-2015,1.1,5641742.02,3163839.74,1610910.07,212173.21,654819,630301.44,21861.54,2656.02,conventional,2015,California
27,21-06-2015,1.07,5952597.29,3328631.93,1743509.25,218423.77,662032.34,634244.68,24277.53,3510.13,conventional,2015,California
28,14-06-2015,0.97,6741662.31,4075881.34,1771908.98,210670.82,683201.17,657421.42,22961.19,2818.56,conventional,2015,California
29,07-06-2015,0.98,6374842.9,3614314.44,1860329.3,221330.48,678868.68,651944.51,23422.39,3501.78,conventional,2015,California
30,31-05-2015,0.98,6236903.31,3620440.35,1826496.62,209443.33,580523.01,554224.64,23083.08,3215.29,conventional,2015,California
31,24-05-2015,1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.93,546420.69,24485.84,3213.4,conventional,2015,California
32,17-05-2015,1.08,5289138.5,2923673.93,1649623.66,168597.35,547243.56,525804.7,18497.03,2941.83,conventional,2015,California
33,10-05-2015,0.93,6650357.96,4085858.78,1735132.32,194575.97,634790.89,613601.09,18366.27,2823.53,conventional,2015,California
34,03-05-2015,0.88,8567534.49,4340117.03,3403145.1,192473.92,631798.44,609388.58,19735.89,2673.97,conventional,2015,California
35,26-04-2015,1.15,4923565.04,2421009.67,1729486.77,196469.02,576599.58,548252.41,26483.99,1863.18,conventional,2015,California
36,19-04-2015,1.05,5871080.81,3024466.22,2070974.14,177354.82,598285.63,524767.96,71988.59,1529.08,conventional,2015,California
37,12-04-2015,1.06,5636644.51,2848184,1988818.23,185198.77,614443.51,532714.02,79865.3,1864.19,conventional,2015,California
38,05-04-2015,1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.94,539258.29,59212.09,2654.56,conventional,2015,California
39,29-03-2015,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
29,07-06-2015,1.15,199980.3,43524.21,45226.73,38578.8,72650.56,69123.57,3526.99,0,conventional,2015,Charlotte
30,31-05-2015,1.19,194630.86,45688.14,43259.91,44529.73,61153.08,58990.8,2162.28,0,conventional,2015,Charlotte
31,24-05-2015,1.2,212527.72,43628.72,59207.62,46014.43,63676.95,59663.25,4013.7,0,conventional,2015,Charlotte
32,17-05-2015,1.21,190799.99,44340.34,46424.29,40248.52,59786.84,57583.99,2202.85,0,conventional,2015,Charlotte
33,10-05-2015,1.19,192767.09,47626.37,42863.8,38370.27,63906.65,61759.57,2147.08,0,conventional,2015,Charlotte
34,03-05-2015,1,261492.2,50203.31,69446.61,77627.49,64214.79,58626.28,5588.51,0,conventional,2015,Charlotte
35,26-04-2015,1.2,182141.55,39481.13,44796.9,37961.14,59902.38,58701.2,1201.18,0,conventional,2015,Charlotte
36,19-04-2015,1.18,180944.22,38330.46,41954.32,36041.12,64618.32,63182.05,1436.27,0,conventional,2015,Charlotte
37,12-04-2015,1.17,204005.24,48793.38,50390.01,39638.34,65183.51,61787.29,3396.22,0,conventional,2015,Charlotte
38,05-04-2015,1.19,177919.28,43112.4,40448.49,36210.12,58148.27,56450.56,1599.1,98.61,conventional,2015,Charlotte
39,29-03-2015,1.23,178788.49,34498.06,50741.07,40688.42,52860.94,51856.01,1004.93,0,conventional,2015,Charlotte
40,22-03-2015,1.19,182876.15,41638.46,44726.81,37099.23,59411.65,56443.98,2967.67,0,conventional,2015,Charlotte
41,15-03-2015,1.19,183944.05,39138.41,48595.62,43739.93,52470.09,51028.01,1442.08,0,conventional,2015,Charlotte
42,08-03-2015,1.25,159386.69,29980.15,39244.64,36249.61,53912.29,52537.96,1374.33,0,conventional,2015,Charlotte
43,01-03-2015,1.18,176146.34,45465.24,40006.65,34948.86,55725.59,52873.84,2851.75,0,conventional,2015,Charlotte
