Customer,Country,State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BW63560,US,IA,Iowa,746.3139377,No,Basic,Bachelor,1/17/11,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Hail,Branch,42.920271,Four-Door Car,Medsize
FV94802,US,OK,Oklahoma,256.6867823,No,Basic,High School or Below,2/6/11,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Hail,Call Center,454.245098,Two-Door Car,Medsize
OE15005,US,MO,Missouri,394.5241604,No,Basic,College,1/5/11,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,647.442031,SUV,Medsize
WC83389,US,IA,Iowa,571.0333115,No,Basic,College,2/27/11,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Hail,Branch,308.981664,Four-Door Car,Medsize
FL50705,US,MO,Missouri,816.2617053,No,Premium,High School or Below,1/14/11,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Collision,Call Center,484.8,Four-Door Car,Small
ZK25313,US,IA,Iowa,287.2051273,No,Basic,High School or Below,2/19/11,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Collision,Branch,355.2,Two-Door Car,Medsize
SV62436,US,KS,Kansas,304.1791561,No,Extended,Bachelor,1/21/11,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Other,Call Center,379.2,Four-Door Car,Medsize
YH23384,US,NE,Nebraska,2412.750402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Collision,Agent,511.2,Four-Door Car,Medsize
TZ98966,US,OK,Oklahoma,245.0190996,No,Basic,Bachelor,2/24/11,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Collision,Branch,554.376763,Four-Door Car,Medsize
HM55802,US,MO,Missouri,239.210789,No,Basic,Bachelor,2/5/11,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Hail,Branch,439.2,Four-Door Car,Medsize
FS42516,US,IA,Iowa,580.2065978,No,Basic,College,1/29/11,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Hail,Call Center,389.185006,Four-Door Car,Large
US89481,US,MO,Missouri,394.6372085,No,Premium,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Collision,Agent,799.2,Four-Door Car,Small
HO30839,US,KS,Kansas,534.6916576,No,Extended,Master,2/12/11,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Collision,Branch,516.237951,SUV,Medsize
GE62437,US,NE,Nebraska,1290.256014,No,Premium,College,2/2/11,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Collision,Call Center,532.8,Four-Door Car,Large
EJ77678,US,IA,Iowa,323.5360468,No,Extended,Master,2/7/11,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Hail,Branch,384,Four-Door Car,Small
SV85652,US,NE,Nebraska,245.458354,No,Basic,College,2/28/11,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Other,Call Center,322.294043,Four-Door Car,Small
UL64533,US,OK,Oklahoma,1897.545611,No,Extended,High School or Below,1/22/11,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Corporate L2,Hail,Agent,615.927769,Luxury SUV,Medsize
PF41800,US,MO,Missouri,471.5321344,No,Basic,Bachelor,1/25/11,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Collision,Call Center,308.15089,Four-Door Car,Medsize
AO98601,US,KS,Kansas,501.8885233,No,Basic,Bachelor,1/18/11,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Collision,Agent,302.4,Two-Door Car,Small
SK67821,US,IA,Iowa,493.2916345,No,Basic,Bachelor,2/13/11,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Scratch/Dent,Web,15.437681,Four-Door Car,Medsize
YV55495,US,NE,Nebraska,574.4229745,No,Basic,High School or Below,1/15/11,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Collision,Branch,204.475147,Four-Door Car,Medsize
KY38074,US,MO,Missouri,1389.173567,No,Premium,Bachelor,1/8/11,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Collision,Agent,561.6,Four-Door Car,Small
DM79012,US,IA,Iowa,738.0976717,No,Extended,Master,2/6/11,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Hail,Web,436.8,Four-Door Car,Small
CM61827,US,IA,Iowa,309.0034104,No,Extended,Bachelor,1/25/11,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,648,Two-Door Car,Small
WC35801,US,NE,Nebraska,252.1633095,No,Basic,High School or Below,2/7/11,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Collision,Call Center,157.397849,Four-Door Car,Medsize
QG25316,US,OK,Oklahoma,265.2061785,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,484.318536,Two-Door Car,Medsize
MB98372,US,IA,Iowa,277.1045031,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Hail,Agent,18.918935,Two-Door Car,Medsize
IL19217,US,MO,Missouri,393.900637,Yes,Extended,Bachelor,1/28/11,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Hail,Agent,882.871945,Four-Door Car,Small
SR38658,US,NE,Nebraska,1223.187968,No,Basic,High School or Below,2/8/11,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Other,Agent,494.4,Sports Car,Medsize
DH41343,US,KS,Kansas,244.3665166,No,Basic,College,2/23/11,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Hail,Call Center,292.8,Four-Door Car,Large
HG65722,US,IA,Iowa,1281.910289,No,Premium,Doctor,1/25/11,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Personal L2,Collision,Branch,0.517753,SUV,Medsize
BU27331,US,NE,Nebraska,446.8510542,No,Basic,Bachelor,1/31/11,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Personal L3,Scratch/Dent,Call Center,579.165954,Four-Door Car,Medsize
XM45289,US,IA,Iowa,551.4344018,No,Basic,High School or Below,1/2/11,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Other,Agent,447.79344,Two-Door Car,Medsize
KP34198,US,MO,Missouri,334.3875326,No,Extended,Bachelor,2/7/11,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Hail,Call Center,529.624084,Four-Door Car,Medsize
SH90947,US,NE,Nebraska,229.4478927,No,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Other,Branch,313.023175,Four-Door Car,Medsize
WE95729,US,IA,Iowa,3670.742639,No,Basic,College,1/17/11,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Personal L2,Collision,Agent,593.830288,SUV,Small
PY51963,US,MO,Missouri,3347.334946,Yes,Basic,Bachelor,1/11/11,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Collision,Web,508.8,SUV,Medsize
RB69909,US,OK,Oklahoma,798.3431709,No,Basic,High School or Below,2/21/11,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Special L1,Other,Branch,173.956072,Four-Door Car,Medsize
XR95069,US,KS,Kansas,485.4745666,No,Basic,Bachelor,2/16/11,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Other,Agent,307.2,Four-Door Car,Medsize
FR46645,US,MO,Missouri,429.3997319,No,Premium,Bachelor,1/17/11,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Collision,Branch,831.625979,Four-Door Car,Small
SY17488,US,NE,Nebraska,716.4395543,No,Extended,College,2/5/11,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,436.8,Four-Door Car,Small
AP67935,US,MO,Missouri,761.95158,No,Basic,College,2/13/11,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Hail,Branch,302.56519,Four-Door Car,Medsize
FS37417,US,NE,Nebraska,395.8002823,No,Basic,High School or Below,2/23/11,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Collision,Call Center,484.8,SUV,Small
ML29312,US,IA,Iowa,449.9493252,No,Extended,High School or Below,1/28/11,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Collision,Call Center,704.768111,SUV,Medsize
UB61619,US,IA,Iowa,405.9567414,No,Premium,Master,2/28/11,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Collision,Agent,518.4,Four-Door Car,Medsize
CD86811,US,NE,Nebraska,445.8113369,Yes,Basic,Bachelor,1/2/11,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Collision,Agent,312,Four-Door Car,Medsize
RU83859,US,MO,Missouri,811.0333139,No,Premium,Bachelor,1/22/11,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Collision,Call Center,504,Two-Door Car,Small
FG63582,US,IA,Iowa,333.9764873,No,Extended,Bachelor,1/15/11,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Collision,Agent,863.327324,Two-Door Car,Small
NN71951,US,MO,Missouri,2426.101777,No,Basic,High School or Below,1/27/11,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Collision,Agent,104.331355,SUV,Medsize
WB37082,US,NE,Nebraska,661.3973653,No,Basic,Bachelor,1/23/11,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,676.391482,Four-Door Car,Large
SM52139,US,KS,Kansas,293.0693543,No,Basic,College,1/31/11,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Scratch/Dent,Web,350.4,Four-Door Car,Medsize
FL82372,US,IA,Iowa,867.2194272,No,Basic,College,1/26/11,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Collision,Agent,537.6,SUV,Medsize
DP45816,US,NE,Nebraska,1163.866926,No,Extended,High School or Below,1/10/11,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Other,Branch,465.258644,Two-Door Car,Small
GW33762,US,IA,Iowa,684.6150323,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Collision,Call Center,456,Two-Door Car,Large
RZ33670,US,MO,Missouri,1172.777648,No,Premium,College,1/9/11,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Scratch/Dent,Web,500.254235,Four-Door Car,Medsize
PY70169,US,IA,Iowa,2264.383478,No,Basic,High School or Below,2/24/11,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Other,Agent,281.451042,SUV,Medsize
MO91628,US,IA,Iowa,261.4474305,No,Basic,Master,2/11/11,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Hail,Web,5.434505,Two-Door Car,Large
HW87852,US,IA,Iowa,245.1752695,No,Basic,Master,2/12/11,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Collision,Agent,307.2,Four-Door Car,Medsize
HB20453,US,IA,Iowa,678.1270203,No,Basic,Bachelor,2/4/11,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Collision,Agent,982.399613,Sports Car,Medsize
BN87372,US,IA,Iowa,497.4801539,Yes,Basic,Bachelor,1/18/11,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Hail,Branch,467.803638,Two-Door Car,Medsize
YX23800,US,IA,Iowa,859.1604933,No,Basic,Bachelor,2/11/11,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Hail,Branch,350.4,Four-Door Car,Small
DZ87709,US,IA,Iowa,559.2161392,No,Basic,High School or Below,2/1/11,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Hail,Call Center,29.03416,Four-Door Car,Medsize
XW13033,US,OK,Oklahoma,800.9472833,No,Basic,College,2/15/11,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Hail,Agent,321.6,Four-Door Car,Medsize
LN31673,US,KS,Kansas,1131.808982,No,Extended,College,2/6/11,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Collision,Agent,115.728852,Four-Door Car,Medsize
OM82309,US,MO,Missouri,5816.655351,No,Basic,Bachelor,2/27/11,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Personal L3,Hail,Branch,427.63121,Luxury Car,Small
ZU35962,US,MO,Missouri,802.5229358,No,Extended,College,1/26/11,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,25.807685,Two-Door Car,Large
VH85817,US,MO,Missouri,578.0182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Hail,Call Center,787.993313,Four-Door Car,Medsize
DT85712,US,MO,Missouri,411.8539113,No,Basic,Doctor,1/27/11,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Scratch/Dent,Branch,489.6,SUV,Medsize
YJ88573,US,OK,Oklahoma,252.307015,No,Basic,Master,1/16/11,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Hail,Call Center,302.4,Four-Door Car,Large
SQ19467,US,IA,Iowa,655.4216396,No,Extended,College,1/27/11,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Hail,Agent,475.623251,Four-Door Car,Small
HF88410,US,KS,Kansas,770.3397294,No,Basic,High School or Below,2/28/11,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Collision,Call Center,320.849072,Four-Door Car,Medsize
ET79815,US,MO,Missouri,592.6729379,Yes,Extended,College,1/25/11,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Collision,Agent,460.8,Four-Door Car,Medsize
QC35222,US,MO,Missouri,268.3470677,No,Basic,Bachelor,1/1/11,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Scratch/Dent,Web,282.151207,Four-Door Car,Medsize
CJ15590,US,IA,Iowa,269.5182419,No,Basic,Bachelor,2/1/11,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Scratch/Dent,Branch,321.6,Four-Door Car,Medsize
OI48267,US,MO,Missouri,604.702516,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Collision,Branch,364.8,Four-Door Car,Medsize
JY67916,US,IA,Iowa,1317.101282,No,Premium,College,1/27/11,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Hail,Branch,679.827592,Two-Door Car,Small
OE75231,US,KS,Kansas,1065.688195,Yes,Extended,Bachelor,2/27/11,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Hail,Call Center,631.743039,Two-Door Car,Medsize
CZ33664,US,IA,Iowa,252.7653796,No,Basic,Bachelor,1/17/11,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Collision,Agent,11.879037,Four-Door Car,Medsize
WK30175,US,IA,Iowa,267.2095756,No,Basic,Bachelor,2/10/11,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Collision,Branch,350.529033,Two-Door Car,Small
ON44465,US,MO,Missouri,531.3294035,No,Extended,High School or Below,1/24/11,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Collision,Agent,863.3947,Four-Door Car,Medsize
TV87155,US,IA,Iowa,2094.619251,No,Basic,Bachelor,2/24/11,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Collision,Branch,492.127532,Four-Door Car,Large
KH48895,US,NE,Nebraska,837.5353929,No,Basic,Master,2/15/11,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Collision,Branch,132.588288,SUV,Medsize
NZ30757,US,MO,Missouri,480.1661503,No,Basic,Bachelor,2/16/11,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Collision,Agent,297.6,Four-Door Car,Medsize
RI22468,US,NE,Nebraska,574.594334,No,Basic,Bachelor,1/22/11,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Scratch/Dent,Web,269.905129,Four-Door Car,Medsize
FZ30935,US,IA,Iowa,606.6115969,No,Extended,College,2/25/11,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Collision,Agent,380.036697,Two-Door Car,Small
UG93476,US,MO,Missouri,800.2308333,Yes,Basic,College,1/11/11,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Collision,Agent,513.6,SUV,Medsize
AB96670,US,MO,Missouri,239.3915369,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Collision,Branch,425.266308,Four-Door Car,Medsize
XK64261,US,IA,Iowa,476.28179,No,Basic,Bachelor,1/12/11,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,49.011099,Two-Door Car,Medsize
EV68375,US,MO,Missouri,433.038602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Hail,Branch,513.6,Four-Door Car,Medsize
UN51653,US,MO,Missouri,940.2729769,No,Extended,High School or Below,2/9/11,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Collision,Web,936,SUV,Medsize
TO96662,US,IA,Iowa,696.6694527,No,Extended,Bachelor,1/19/11,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Collision,Call Center,142.062768,Four-Door Car,Small
MR52087,US,MO,Missouri,769.4064293,No,Basic,Bachelor,1/4/11,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Scratch/Dent,Branch,45.152521,Four-Door Car,Medsize
DE75225,US,IA,Iowa,871.7561149,No,Basic,High School or Below,1/9/11,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Collision,Agent,561.6,SUV,Medsize
EP80820,US,MO,Missouri,592.8748528,No,Basic,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Collision,Agent,30.567357,Two-Door Car,Medsize
GU99037,US,IA,Iowa,245.2977288,No,Basic,College,2/14/11,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Other,Agent,271.606799,Four-Door Car,Medsize
WI57118,US,MO,Missouri,670.1571657,No,Extended,College,2/27/11,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Other,Agent,408,Four-Door Car,Small
YQ74870,US,KS,Kansas,755.624034,No,Extended,High School or Below,2/12/11,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Hail,Web,470.4,Four-Door Car,Small
MQ14219,US,NE,Nebraska,849.26988,No,Basic,College,2/26/11,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Hail,Branch,784.8,SUV,Medsize
KN20603,US,IA,Iowa,771.3494046,No,Basic,Bachelor,2/20/11,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Collision,Agent,316.8,Four-Door Car,Medsize
CR48975,US,KS,Kansas,2408.45352,No,Basic,High School or Below,2/2/11,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Other,Branch,396.082036,Four-Door Car,Medsize
JI70886,US,MO,Missouri,729.0069769,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Collision,Agent,489.6,SUV,Medsize
VF72557,US,IA,Iowa,477.2943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Hail,Agent,638.4,SUV,Medsize
OX28638,US,NE,Nebraska,680.6491395,No,Extended,High School or Below,1/21/11,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Hail,Branch,465.633954,Two-Door Car,Medsize
SK55033,US,MO,Missouri,246.9781334,No,Basic,Bachelor,1/15/11,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,368.400146,Two-Door Car,Medsize
OO88645,US,MO,Missouri,310.3923041,No,Extended,College,2/5/11,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Hail,Call Center,236.902001,Four-Door Car,Medsize
YT36855,US,KS,Kansas,298.1875575,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Scratch/Dent,Web,582.679087,Two-Door Car,Medsize
CW82151,US,MO,Missouri,890.2737595,No,Basic,Bachelor,1/5/11,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Collision,Call Center,64.109663,Sports Car,Medsize
DY22043,US,IA,Iowa,549.9447223,No,Basic,High School or Below,1/28/11,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Scratch/Dent,Branch,326.4,Two-Door Car,Small
SH36774,US,MO,Missouri,1502.359858,No,Basic,High School or Below,1/12/11,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Scratch/Dent,Web,921.6,Luxury SUV,Medsize
EM43724,US,OK,Oklahoma,250.9107875,No,Basic,Bachelor,2/16/11,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Collision,Agent,101.89645,Four-Door Car,Medsize
FH85960,US,IA,Iowa,3122.17481,No,Premium,College,1/3/11,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Collision,Call Center,542.4,Four-Door Car,Medsize
XA55993,US,IA,Iowa,313.3503432,No,Extended,Master,2/7/11,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Hail,Branch,143.747794,Four-Door Car,Medsize
GO36627,US,NE,Nebraska,383.7451863,No,Extended,College,1/13/11,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Collision,Branch,424.077159,Four-Door Car,Medsize
QH48047,US,IA,Iowa,1179.049617,Yes,Basic,College,1/3/11,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Hail,Web,316.8,Four-Door Car,Medsize
RB50392,US,KS,Kansas,783.8068321,No,Basic,Master,2/17/11,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Hail,Agent,2.704934,Four-Door Car,Medsize
UH65059,US,NE,Nebraska,430.5808345,No,Basic,High School or Below,1/21/11,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Collision,Agent,523.2,Sports Car,Medsize
